langId,categoryId,word,meaning,ruby,pos
1,3,啊,感嘆詞（文末、感嘆の語気）,a,感
1,1,爱,愛する、（行い、状態を）好む,ài,動
1,3,矮,低い（背丈が）,ǎi,形
1,3,爱好,趣味、好み,àihào,名
1,3,安静,静かである,ānjìng,形
1,3,阿姨,おばさん、母の姉妹,āyí,名
1,2,吧,感嘆詞（語気をやわらげる）,ba,感
1,3,把,…把（取っ手、柄のあるものを数える）,bǎ,量
1,1,八,八,bā,数
1,1,爸爸,お父さん,bàba,名
1,2,白,白い,bái,形
1,2,百,百,bǎi,数
1,3,半,半分、２分の１,bàn,数
1,3,班,クラス,bān,名
1,3,搬,運ぶ、引っ越しする,bān,動
1,3,办法,方法、やりかた,bànfǎ,名
1,3,帮忙,手伝う,bāngmáng,動
1,3,办公室,事務室,bàngōngshì,名
1,2,帮助,助ける、援助する,bāngzhù,動
1,3,饱,満腹である,bǎo,形
1,3,包,…包み（包んだ物を数える）,bāo,量
1,2,报纸,新聞,bàozhǐ,名
1,3,背,暗記する,bèi,動
1,3,北方,北方,běifāng,名
1,1,北京,北京,Běijīng,名固
1,1,杯子,コップ、さかずき,bēizi,名
1,1,本,…冊（書籍・ノートを数える）,běn,量
1,2,比,…と比べて,bǐ,介
1,3,变化,変化する,biànhuà,動
1,3,表示,表示する、示す、表す,biǎoshì,動
1,3,表演,演じる,biǎoyǎn,動
1,2,别,…してはいけない,bié,副
1,3,比较,比較する,bǐjiào,動
1,3,宾馆,ホテル,bīnguǎn,名
1,3,冰箱,冷蔵庫,bīngxiāng,名
1,3,比赛,試合する,bǐsài,動
1,3,必须,…しなくてはならない,bìxū,能
1,3,鼻子,鼻,bízi,名
1,1,不,いいえ、…しない、…ではない,bù,副
1,1,不客气,どういたしまして,búkèqi,他
1,3,才,いま…したばかり、やっと,cái,副
1,1,菜,料理、おかず,cài,名
1,3,菜单,メニュー、お品書き,càidān,名
1,3,参加,参加する,cānjiā,動
1,3,草,草,cǎo,名
1,3,层,…枚（重なった物を数える）,céng,量
1,1,茶,お茶,chá,名
1,3,差,欠ける、異なる,chà,形
1,2,长,長い、長さ、長所,cháng,形
1,2,唱歌,歌をうたう,chànggē,動
1,3,超市,スーパーマーケット,chāoshì,名
1,3,成绩,成績,chéngjì,名
1,3,城市,都会、都市,chéngshì,名
1,3,衬衫,ブラウス、シャツ,chènshān,名
1,1,吃,食べる,chī,動
1,3,迟到,遅刻する,chídào,動
1,2,出,出る、出す,chū,動
1,2,船,船,chuán,名
1,2,穿,（衣服を）着る、通り抜ける,chuān,動
1,3,厨房,台所,chúfáng,名
1,3,除了,…以外は、…を除いて,chúle,介
1,3,春,春,chūn,名
1,3,出现,出現する,chūxiàn,動
1,1,出租车,タクシー,chūzūchē,名
1,2,次,…回,cì,量
1,3,词语,字句、語句,cíyǔ,名
1,3,聪明,聡明である、賢い,cōngming,形
1,2,错,誤っている,cuò,形
1,1,大,大きい、年長である,dà,形
1,1,打电话,電話をかける,dǎdiànhuà,動
1,3,带,帯びる、身につける、連れる,dài,動
1,2,大家,みんな,dàjiā,代
1,2,打篮球,バスケットボールをする,dǎlánqiú,動
1,3,蛋糕,ケーキ、カステラ,dàngāo,名
1,3,当然,当然である,dāngrán,副
